Round 1,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
257,NY Islanders,C/LW/RW,Alexander Wennberg,70,25,"$4,900,000",,Round 1
258,Buffalo Sabres,C/RW,Colin White,66,23,"$2,500,000",,Round 2
259,St. Louis Blues,RW,Ondrej Kase,66,24,"$2,600,000",,Round 3
260,Toronto Maple Leafs,G,Jake Allen,74,29,"$4,350,000",,Round 4
261,Nashville Predators,LW,Andrew Mangiapane,65,23,"$715,000",,Round 5
262,Seattle Kraken,LW/RW,Connor Brown,72,26,"$2,100,000",,Round 6
263,Detroit Red Wings,D,Alex Goligoski,75,34,"$5,475,000",,Round 7
264,Carolina Hurricanes,C/LW,Tyson Jost,66,21,"$885,833",,Round 8
265,Minnesota Wild,C,Christian Dvorak,70,24,"$4,450,000",,Round 9
266,Vegas Golden Knights,C,Vincent Trocheck,70,26,"$4,750,000",,Round 10
267,Philadelphia Flyers,D,Scott Mayfield,70,27,"$1,450,000",,Round 11
268,Seattle Kraken,LW/RW,Jakub Voracek,74,30,"$8,250,000",,Round 12
269,Winnipeg Jets,RW,Jake Virtanen,67,23,"$1,250,000",,Round 13
270,Washington Capitals,LW,Jonathan Drouin,69,24,"$5,500,000",,Round 14
271,NY Rangers,C/LW,Adam Henrique,73,30,"$5,825,000",,Round 15
272,San Jose Sharks,LW/RW,Reilly Smith,72,28,"$5,000,000",,Round 16
273,Columbus Blue Jackets,C/LW,Chris Tierney,72,25,"$2,937,500",,Round 17
274,Colorado Avalanche,D,Phillippe Myers,64,23,"$678,889",,Round 18
275,San Jose Sharks,C/LW,Jamie Benn,73,30,"$9,500,000",,Round 19
276,New Jersey Devils,D,Ian Cole,72,31,"$4,250,000",,Round 20
277,Tampa Bay Lightning,C/LW,Boone Jenner,72,26,"$3,750,000",,Round 21
278,Los Angeles Kings,D,Travis Dermott,65,23,"$863,333",,Round 22
279,Calgary Flames,LW,Max Comtois,63,21,"$820,003",,Round 23
280,Montreal Canadiens,C/LW,Ryan Poehling,58,21,"$925,000",,Round 24
281,Edmonton Oilers,D,Jared Spurgeon,74,30,"$5,187,500",,Round 25
282,Ottawa Senators,RW,Gustav Nyquist,72,30,"$5,500,000",,Round 26
283,Boston Bruins,LW/RW,Kevin Labanc,69,24,"$1,000,000",,
284,San Jose Sharks,RW,Viktor Arvidsson,68,26,"$4,250,000",,
285,Florida Panthers,C/LW/RW,Andreas Athanasiou,69,25,"$3,000,000",,
286,Boston Bruins,D,Shayne Gostisbehere,65,26,"$4,500,000",,
287,Dallas Stars,LW/RW,Evgenii Dadonov,71,30,"$4,000,000",,
288,Arizona Coyotes,D,Patrik Nemeth,72,28,"$3,000,000",,
Round 10,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
289,Arizona Coyotes,C/RW,Travis Boyd,61,26,"$800,000",,Round 1
290,Dallas Stars,D,Justin Schultz,66,29,"$5,500,000",,Round 2
291,Boston Bruins,C/LW,Jared McCann,69,23,"$1,250,000",,Round 3
292,Florida Panthers,LW/RW,Alexander Nylander,65,21,"$863,333",,Round 4
293,San Jose Sharks,C/LW/RW,Joel Eriksson Ek,69,23,"$800,000",,Round 5
294,Boston Bruins,G,Adin Hill,67,23,"$708,750",,Round 6
295,Ottawa Senators,LW/RW,Phil Kessel,71,32,"$6,800,000",,Round 7
296,Edmonton Oilers,LW,Anders Lee,72,29,"$7,000,000",,Round 8
297,Montreal Canadiens,C,Logan Brown,60,21,"$863,333",,Round 9
298,Calgary Flames,C/LW,Robby Fabbri,66,24,"$900,000",,Round 10
299,Los Angeles Kings,C/LW/RW,Brett Howden,66,21,"$863,333",,Round 11
300,Tampa Bay Lightning,LW,Tanner Pearson,72,27,"$3,750,000",,Round 12
301,New Jersey Devils,D,Erik Gudbranson,71,28,"$4,000,000",,Round 13
302,Anaheim Ducks,C,Alexandre Texier,61,20,"$897,501",,Round 14
303,Colorado Avalanche,LW/RW,Denis Gurianov,64,22,"$894,166",,Round 15
304,Columbus Blue Jackets,D,Brayden McNabb,73,29,"$2,500,000",,Round 16
305,Pittsburgh Penguins,LW/RW,Josh Bailey,72,30,"$5,000,000",,Round 17
306,NY Rangers,D,Ben Chiarot,72,28,"$3,500,000",,Round 18
307,Washington Capitals,D,Adam Larsson,71,27,"$4,166,666",,Round 19
308,Winnipeg Jets,D,Nicolas Hague,62,21,"$791,668",,Round 20
309,Nashville Predators,C,Lars Eller,73,30,"$3,500,000",,Round 21
310,Minnesota Wild,C/LW,Radek Faksa,70,26,"$2,200,000",,Round 22
311,Vegas Golden Knights,G,Braden Holtby,68,30,"$6,100,000",,Round 23
312,Minnesota Wild,LW/RW,Brendan Lemieux,66,23,"$800,000",,Round 24
313,Carolina Hurricanes,D,Justin Faulk,71,27,"$4,833,333",,Round 25
314,Detroit Red Wings,C/LW,Lias Andersson,60,21,"$894,166",,Round 26
315,Nashville Predators,LW,Jeff Skinner,69,27,"$9,000,000",,
316,Vancouver Canucks,C/LW/RW,Tyler Johnson,69,29,"$5,000,000",,
317,Toronto Maple Leafs,D,Nate Schmidt,70,28,"$5,950,000",,
318,St. Louis Blues,D,Haydn Fleury,63,23,"$850,000",,
319,Buffalo Sabres,D,Jake Muzzin,74,31,"$4,000,000",,
320,NY Islanders,D,Dmitry Orlov,72,28,"$5,100,000",,
Round 11,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
321,NY Islanders,LW/RW,Brandon Saad,71,27,"$6,000,000",,Round 1
322,Buffalo Sabres,C,Nick Bonino,73,31,"$4,100,000",,Round 2
323,St. Louis Blues,D,Mario Ferraro,63,21,"$925,001",,Round 3
324,San Jose Sharks,C/LW,Scott Laughton,69,25,"$2,300,000",,Round 4
325,Vancouver Canucks,C/LW,Ryan Donato,65,23,"$1,900,000",,Round 5
326,Nashville Predators,LW/RW,Jordan Greenway,68,23,"$916,666",,Round 6
